idMovie,idActor,characterName
63848,0,Sp9QG2Jd1Z083II7Wap5
83528,1031,PH7UqD6zA7PVnbOUy8CS
6991,450,VqjymSXAtj6SJYwc0j54
21492,1358,Iky8UVQPiOWoSBsScWuL
82231,1571,UUhyfMdnaBjm8kRZMPUz
47501,1268,DDB01D0HpLKFn3SnZGBw
9031,696,kVOTH3nfr1gFpqiXMJp3
50283,410,KHC52OoCMFhyBeakgBJw
80442,1121,3ALWwy6ap1Zcy9iGfPAJ
78149,1656,MQ1NheSzd1JwNcYQ6MfX
31655,365,AnTA8ziJsk3WESPb57M6
70165,531,0fVesA7REDKRX7tTlRlj
99989,221,3C1wIjrVS2p64B2pzYtP
30049,1299,kIAFheqJtTmPAIiy9yt8
98821,749,QFb4963KT1XRWrTAhL2e
45175,445,SagSMnNZzX8qD8e0LEQh
5300,1681,LtIC3pmbAHrvhuL6nHNd
9403,1940,t4dhkf7TNEP5b8hFg6L2
34851,486,bTLYxxfK0dy0hUHtWGQe
98973,1881,BB4CMvadj1RLn4yGHkxT
9952,694,t0YgsLkZkuevl05eBiTR
52199,110,jLRUsPBlouQXF8kiDdOw
17610,1446,8BpEJwWr4tGxRjIuaZl2
30343,1398,pRoUmkfwMseunHvpTcAW
58428,1139,8XPTUuh1z3HiXk75OQA8
90300,1796,1OTfavIyb5wFNjCH4gzp
66552,1650,AkXhIsszlcylB3d5tJ1x
92153,441,4Laeoy284ZmGTfXNxF3b
26799,1152,cmmr5U5GrLXCHhvT86o8
99172,1676,rR0Qa5kpmrVtjE96Bs9N
80980,682,aKsCa9vlLagU00H5zxAW
94080,963,I3uft1XMDvakjHrEd8OQ
40500,402,gw9p3QH3YPLYNmS9Ugc6
22107,1937,fCrcSjJDhSMGo8Dd1u3d
32541,957,TZE6Y3uLpKT6NXNkBphC
58179,743,vOSXNGwgLZ4pqWkjaTwZ
93271,131,kxBaAlnsAxde3lV4u5dt
91354,1314,rkicaPEWXda0WTG6B2oF
39049,130,H0hmIxcH2Ndv3XG6FR88
24031,879,Hsdtp1Kl82ZHQYuSalYY
74736,1293,UD4z6j3zZjXTeIkjXF02
67400,966,PqnWzfXf0J3WkVPjgnKe
95878,691,xwfdVbaS4u2TRbdXfyEH
37925,1384,5sbXv4k6zM1c4e2ST4Gu
19324,1945,LrbYySXipTQ21efboVKM
6414,1067,ZZGfv62RcO8uzbBpIMtu
63450,87,BfyemeZh9XmjSRB0K0ik
71012,217,tQ90SCNc9hUSXacYH1u4
58091,1738,3WItxqgwhqnfHw7v5Frw
77085,1909,005vdjB2otCDjA9xbL4T
76195,303,eFbROedUyc27X7tZjlxZ
97090,1156,Y0ApgFUCcFXIycR3CAJ3
59287,1551,XErTjGBKPCa1F2zVM0dm
73385,1874,Sc6buQKVm3nRAyppEI6x
47517,1404,JAUh2nOQOegn2H7Xursj
61639,1660,nrXrPfujrjiq1HPoiQw1
66705,1508,p6BGr7Oh6stGpbe9nBEn
54831,1938,a4x166WkLy2oMT9mrlBL
34212,758,32L5kLPXBM23Xq9eR0r1
68189,681,WxxXx7WZoon3V7MXgDFM
63697,1021,H9FnYqob06hluwXvMifN
22576,1953,SskTtsDDA2XEwcjB6uvl
89626,1529,B4wL2kjb8SAV5EUu7XMe
95478,1495,zTRlrE688zMrUI0khjKC
50574,1593,RzadPJhqeF6jgmNv6Ezv
99545,208,0j2QdMwhsx645q4qBE46
61388,672,WUFBzXxPeD86sgUSPBZi
69482,361,qCxhFuxrS6fMH6FPTHSj
94433,1561,KYmOmyDGRZxxz0PfTJPh
64339,1115,I2X8W4ENgjDG3uhR7sEK
67694,1498,7eSoOSy8itK9r014Ohka
17549,1456,2SzWZYemXx14wLFzLQEf
67720,1936,A4wcoo6oybjKeYzeZ3wZ
15089,878,ynK9Sernkg7gBsziOm2N
29100,739,5g7ssk1Y2dTsKQv36SfV
54803,1019,UjyJ7okyOtoBlPMEXdXW
17629,493,eL8ykKQPyt96I4YBP915
19254,985,uuWzClvmMqwcgpK5CN9z
25311,200,L3ndhJRueMDifDzmzZB0
24911,788,vsQ1yRBDVDCyVqmakE7q
75611,725,qyxRfCygeTBAXGaiCCJ1
30846,803,3jfFIKXY5wplpqHodj9y
93292,15,D9YkkGTFdXkhqq5RxQvg
67937,98,8B3clRr51zd1zswMx94M
54577,41,2XN8dgZe0XFdfj7RGSHA
83663,853,RYMdCO9aWpS8l6DbJK1E
13618,1280,G9WrEh37Sj9FT6FdEt9b
84586,1419,Oq0ACNpBgxUWW3wSEuUK
31790,205,rybmP1BIs3zPcPYwpShh
1228,1321,7yIZWy0O7VlPEw0OmQm0
45390,426,iKdWPOl5scVhkmq0eg9Z
23360,1157,w3aIjgouYutiCZQpPOev
45680,678,9o6DYfZw12iHHhJE5jRc
94570,992,PfD6ebZ8SCGvJsnOJtwG
13593,1158,wiB3mD9ck7ke04EDuErn
3766,632,H7Gn9mrGufywXPeFnlKy
37280,1884,EUmjYqDarpbuAp4wEyVr
61604,123,ZGm8RQkd2j8hwHPk8mlF
32557,735,IkAhhc8ayMS0gedCPBEI
68876,1854,ORc2l55nBBB1iNhMytvT
66587,237,3q9Nd2Zgl9XKaM6O3QNI
2768,303,dVlefPRteERfgsFTF3o5
88173,642,45Z6mfYxfIucRz0IIug1
99106,1518,Y2NHR1AzVUxnxxwHmU84
96050,207,J9C6iEYXFRJw0MfmhJSy
93730,283,RpKjolgpIrqTqFDeQGpX
68170,964,Ukdn3ET8xhRCis5tWM3q
66113,1893,BxjBcEedBTUFI0ZBdOyk
99258,648,qqNBIW7GTrTX6GLchLRc
97619,217,NDMtbNvRl6VQiQPQoamU
55593,1733,gu5m37q4lG8IqTMmD0rx
18028,1345,gbMxdKbD78P52ncX0DCk
59134,1171,ycs8tAlWOqXeX08jRIAK
40971,947,pV9FfyuLDv8MUHy7qcro
36678,800,KX1MOG83luRDrFmV3RA8
99214,1211,fbql26MmL4q0zhwqTViZ
49997,418,3oVt0TanKRaoiEDT75SO
108,443,vffZmDwD4RMXS5EX7dqc
